tables_num,time,url
5,"20000510033852","google.com"
2,"20000815052943","google.com"
4,"20010118214400","google.com"
4,"20010430065821","google.com"
8,"20010823170809","google.com"
10,"20011217200312","google.com"
7,"20020523134510","google.com"
10,"20020901070947","google.com"
10,"20021204043848","google.com"
10,"20030501170712","google.com"
10,"20030807134808","google.com"
10,"20031231205029","google.com"
10,"20040426014304","google.com"
7,"20040831062742","google.com"
7,"20050101091102","google.com"
7,"20050502232801","google.com"
7,"20050831113132","google.com"
11,"20051231235657","google.com"
11,"20060501235513","google.com"
15,"20060831050142","google.com"
7,"20061231111852","google.com"
7,"20070501105952","google.com"
4,"20070901064928","google.com"
4,"20080101042906","google.com"
4,"20080430213543","google.com"
4,"20080902173409","google.com"
4,"20090101001458","google.com"
4,"20090501024751","google.com"
4,"20090901191100","google.com"
4,"20091231215051","google.com"
4,"20100430202027","google.com"
4,"20100831233408","google.com"
4,"20101231191441","google.com"
4,"20110430233447","google.com"
4,"20110901003620","google.com"
4,"20111231235127","google.com"
4,"20120430235855","google.com"
4,"20120901000323","google.com"
4,"20130101000813","google.com"
4,"20130501000349","google.com"
4,"20130831235721","google.com"
4,"20140101000015","google.com"
58,"20000428012140","yahoo.com"
54,"20000901004807","yahoo.com"
52,"20010124000500","yahoo.com"
51,"20010429194432","yahoo.com"
52,"20010901004632","yahoo.com"
59,"20011217200758","yahoo.com"
77,"20020523032401","yahoo.com"
222,"20020901070931","yahoo.com"
233,"20030127104212","yahoo.com"
237,"20030505193146","yahoo.com"
257,"20030924053947","yahoo.com"
243,"20040101070248","yahoo.com"
260,"20040501160144","yahoo.com"
254,"20040902074952","yahoo.com"
365,"20041222042832","yahoo.com"
343,"20050502230708","yahoo.com"
398,"20050901074054","yahoo.com"
364,"20060101021821","yahoo.com"
378,"20060501211010","yahoo.com"
114,"20060901040059","yahoo.com"
114,"20070101071337","yahoo.com"
107,"20070501020546","yahoo.com"
106,"20070831205034","yahoo.com"
106,"20080101142921","yahoo.com"
106,"20080501000558","yahoo.com"
0,"20080830095559","yahoo.com"
106,"20081231153052","yahoo.com"
106,"20090430035348","yahoo.com"
106,"20090831225643","yahoo.com"
2,"20100209110130","yahoo.com"
2,"20100430212819","yahoo.com"
2,"20100901134404","yahoo.com"
0,"20101231190924","yahoo.com"
0,"20110430220435","yahoo.com"
2,"20110901000422","yahoo.com"
2,"20120101000244","yahoo.com"
2,"20120501000803","yahoo.com"
2,"20120831230315","yahoo.com"
2,"20121231232428","yahoo.com"
2,"20130430235939","yahoo.com"
2,"20130901001906","yahoo.com"
2,"20140101000213","yahoo.com"
2,"20010727112808","wikipedia.org"
2,"20010808121638","wikipedia.org"
8,"20020928181341","wikipedia.org"
8,"20021130190725","wikipedia.org"
15,"20030410015710","wikipedia.org"
15,"20030805192235","wikipedia.org"
15,"20031001170405","wikipedia.org"
5,"20050110041141","wikipedia.org"
2,"20050429014742","wikipedia.org"
2,"20050901020622","wikipedia.org"
2,"20060101021918","wikipedia.org"
2,"20060428065238","wikipedia.org"
2,"20060831022440","wikipedia.org"
2,"20061227065719","wikipedia.org"
2,"20070509122031","wikipedia.org"
2,"20070831005237","wikipedia.org"
2,"20080111031252","wikipedia.org"
2,"20080503010827","wikipedia.org"
2,"20080830003101","wikipedia.org"
2,"20090110000352","wikipedia.org"
2,"20090430172708","wikipedia.org"
2,"20090903131631","wikipedia.org"
2,"20091228034251","wikipedia.org"
2,"20100428110714","wikipedia.org"
2,"20100827184151","wikipedia.org"
2,"20110101041639","wikipedia.org"
2,"20110429203805","wikipedia.org"
2,"20110903074929","wikipedia.org"
2,"20120102032616","wikipedia.org"
2,"20120430085019","wikipedia.org"
2,"20120901124157","wikipedia.org"
2,"20130101115801","wikipedia.org"
2,"20130502130342","wikipedia.org"
2,"20130831193301","wikipedia.org"
2,"20131231232824","wikipedia.org"
2,"20000302233809","myspace.com"
0,"20010301174542","myspace.com"
34,"20010512075425","myspace.com"
42,"20010921105232","myspace.com"
32,"20011217200449","myspace.com"
2,"20020530074022","myspace.com"
2,"20020923043807","myspace.com"
2,"20021130110003","myspace.com"
2,"20030208061920","myspace.com"
13,"20031004101518","myspace.com"
13,"20031020191920","myspace.com"
18,"20040519192432","myspace.com"
115,"20041012084050","myspace.com"
115,"20050101092643","myspace.com"
6,"20050428081127","myspace.com"
2,"20050903083521","myspace.com"
2,"20051230184548","myspace.com"
3,"20060502192117","myspace.com"
17,"20060831142913","myspace.com"
20,"20061227001011","myspace.com"
21,"20070502185408","myspace.com"
24,"20070831103909","myspace.com"
21,"20080101013117","myspace.com"
